name, gs_email, as_pc_chair, as_pc, as_session_chair, as_panelist, as_keynote_speaker, as_author, pc_chairs, pcs, session_chairs, panels, keynotes, papers, gender, country, sector, npubs, hindex, hindex5y, i10index, i10index5y, citedby
"Aalst, Wil Van Der", @tue.nl, 0, 0, 0, 0, 0, 1, , , , , , CCGrid_17_025, M, NL, EDU, 1413, 132, 90, 592, 478, 76802
"Aba, Massinissa Ait", @cea.fr, 0, 0, 0, 0, 0, 1, , , , , , HCW_17_006, M, FR, GOV, 2, 0, 0, 0, 0, 0
"Ababei, Cristinel", @marquette.edu, 0, 1, 0, 0, 0, 0, , IGSC, , , , , M, US, EDU, 82, 15, 13, 20, 15, 1012
"Abadi, Daniel J.", @cs.yale.edu, 0, 1, 0, 0, 0, 1, , CIDR, , , , CIDR_17_021, M, US, EDU, 98, 33, 32, 46, 45, 13511
"Abadi, Martín", , 0, 0, 0, 0, 1, 0, , , , , PLDI, , M, , , , , , , , 
"Abari, Omid", @mit.edu, 0, 0, 0, 0, 0, 1, , , , , , NSDI_17_032, , US, EDU, 22, 8, 8, 7, 6, 167
"Abbadi, Amr El", @cs.ucsb.edu, 0, 0, 0, 0, 0, 1, , , , , , HotCloud_17_014, M, US, EDU, 484, 68, 39, 225, 112, 16186
"Abbadi, Mohamed", , 0, 0, 0, 0, 0, 1, , , , , , SLE_17_001, M, , , , , , , , 
"Abbas, Naeem", @pnec.nust.edu.pk, 0, 0, 0, 0, 0, 1, , , , , , IPDPS_17_028, M, PK, EDU, 15, 4, 4, 1, 1, 43
"Abdel-Majeed, Mohammad", @ju.edu.jo, 0, 0, 0, 0, 0, 1, , , , , , HPCA_17_045, M, JO, EDU, 10, 3, 3, 2, 2, 94
"Abdelbaky, Moustafa", @rutgers.edu, 0, 0, 0, 0, 0, 1, , , , , , CCGrid_17_042, M, US, EDU, 20, 8, 8, 7, 7, 462
"Abdelhafez, Hazem", @ece.ubc.ca, 0, 0, 0, 0, 0, 1, , , , , , EuroPar_17_005, M, CA, EDU, 9, 2, 2, 0, 0, 15
"Abdelhalim, Amer", @anl.gov, 0, 1, 0, 0, 0, 0, , Cluster, , , , , M, US, GOV, 16, 5, 5, 3, 3, 76
"Abdelwahed, Sherif", @ece.msstate.edu, 0, 0, 0, 0, 0, 1, , , , , , Cluster_17_028, , US, EDU, 179, 23, 16, 58, 29, 1738
"Abdelzaher, Tarek", @cs.uiuc.edu, 0, 1, 0, 0, 0, 1, , ICAC, , , , ICAC_17_014, M, US, EDU, 568, 79, 55, 228, 193, 27844
"Abdolrashidi, Amirali", @email.ucr.edu, 0, 0, 0, 0, 0, 1, , , , , , MICRO_17_048, M, US, EDU, 11, 4, 4, 3, 3, 73
"Abdulah, Sameh", , 0, 1, 0, 0, 0, 0, , HiPC, , , , , M, , , , , , , , 
"Abduljabbar, Mustafa", @kaust.edu.sa, 0, 0, 0, 0, 0, 2, , , , , , "ISC_17_005, EuroPar_17_026", M, SA, EDU, 10, 4, 3, 2, 2, 89
"Abdulla, Parosh Aziz", @it.uu.se, 0, 0, 0, 0, 0, 1, , , , , , PLDI_17_019, F, SE, EDU, 368, 39, 23, 90, 61, 5367
