author_id,author_name,author_email
10678545,"('Martínez, Carmen', '@unican.es')"
1762103,"('Beivide, Ramón', '@unican.es')"
2519125,"('Oh, Taewook', '@fb.com')"
1888818,"('Beard, Stephen R.', '')"
2744545,"('Johnson, Nick P.', '')"
1840375,"('Popovych, Sergiy', '')"
1722513,"('August, David I.', '@princeton.edu')"
40163311,"('Zeng, Qi', '')"
1759383,"('Peir, Jih-Kwon', '')"
3451064,"('Dublish, Saumay', '@sms.ed.ac.uk')"
2164782,"('Nagarajan, Vijay', '@ed.ac.uk')"
14984639,"('Topham, Nigel', '')"
2651748,"('Tolomei, Gabriele', '@math.unipd.it')"
1753531,"('Silvestri, Fabrizio', '@fb.com')"
33897206,"('Haines, Andrew', '')"
1684032,"('Lalmas, Mounia', '@acm.org')"
2098053,"('Gupta, Trinabh', '@cs.utexas.edu')"
3215063,"('Fingler, Henrique', '')"
2445753,"('Alvisi, Lorenzo', '@cs.cornell.edu')"
1756078,"('Walfish, Michael', '@cs.nyu.edu')"
2089711,"('Kolli, Aasheesh', '@umich.edu')"
2077856,"('Gogte, Vaibhav', '@umich.edu')"
2298231,"('Diestelhorst, Stephan', '@arm.com')"
37845066,"('Chen, Peter M.', '@umich.edu')"
1678884,"('Narayanasamy, Satish', '@umich.edu')"
3334450,"('Wenisch, Thomas F.', '@umich.edu')"
2290932,"('Kjolstad, Fredrik', '@csail.mit.edu')"
2853477,"('Kamil, Shoaib', '@adobe.com')"
29920289,"('Chou, Stephen', '')"
2636191,"('Lugato, David', '')"
1894033,"('Zhang, Sizhuo', '@csail.mit.edu')"
2287352,"('Vijayaraghavan, Muralidaran', '@csail.mit.edu')"
3285866,"('Arvind, ', '@mit.edu')"
3153082,"('Wang, Aosen', '@buffalo.edu')"
27247854,"('Chen, Lizhong', '@oregonstate.edu')"
2164973,"('Xu, Wenyao', '@buffalo.edu')"
30307951,"('Rodrigues, Crefeda Faviola', '@postgrad.manchester.ac.uk')"
1706226,"('Luján, Mikel', '@manchester.ac.uk')"
2598683,"('Pillai, Thanumalayan Sankaranarayana', '@cs.wisc.edu')"
31817919,"('Alagappan, Ramnatthan', '@cs.wisc.edu')"
2170646,"('Lu, Lanyue', '@cs.wisc.edu')"
2002462,"('Chidambaram, Vijay', '@cs.wisc.edu')"
1720084,"('Seshadri, Vivek', '@cs.cmu.edu')"
15895903,"('Lee, Donghyuk', '@nvidia.com')"
1786530,"('Mullins, Thomas', '')"
40016363,"('Hassan, Hasan', '@inf.ethz.ch')"
2675748,"('Boroumand, Amirali', '@cmu.edu')"
2366265,"('Kozuch, Michael A.', '@cmu.edu')"
1734461,"('Mutlu, Onur', '@inf.ethz.ch')"
1761585,"('Mowry, Todd C.', '@cs.cmu.edu')"
2599242,"('Ousterhout, Kay', '@eecs.berkeley.edu')"
20978225,"('Canel, Christopher', '')"
1699297,"('Ratnasamy, Sylvia', '@berkeley.edu')"
1753148,"('Shenker, Scott', '@icsi.berkeley.edu')"
2462977,"('Oh, Kwangsung', '@cs.umn.edu')"
1770097,"('Chandra, Abhishek', '@umn.edu')"
1710103,"('Silva, Pedro', '')"
37434914,"('Pérez, Christian', '')"
38737063,"('Deng, Dong', '@csail.mit.edu')"
34568734,"('Fernandez, Raul Castro', '')"
2034349,"('Abedjan, Ziawasch', '@tu-berlin.de')"
39996718,"('Wang, Sibo', '@uq.edu.au')"
1695715,"('Stonebraker, Michael', '')"
2033016,"('Madden, Samuel', '@csail.mit.edu')"
2168047,"('Ouzzani, Mourad', '@qf.org.qa')"
8669763,"('Tang, Nan', '@qf.org.qa')"
1767573,"('Chandran, Nishanth', '@microsoft.com')"
1773836,"('Mohassel, Payman', '@visa.com')"
8210582,"('Vusirikala, Satyanarayana', '@cs.utexas.edu')"
39645110,"('Chen, Qi Alfred', '@umich.edu')"
1898170,"('Thomas, Matthew', '@verisign.com')"
2471594,"('Osterweil, Eric', '@verisign.com')"
2861481,"('Cao, Yulong', '')"
40048308,"('You, Jie', '')"
2541035,"('Koo, Gunjae', '@usc.edu')"
2957310,"('Ro, Won Woo', '@yonsei.ac.kr')"
1789661,"('Annavaram, Murali', '@usc.edu')"
4260658,"('Lie, David', '@eecg.toronto.edu')"
2286904,"('Maniatis, Petros', '@cs.stanford.edu')"
39782005,"('Tyagi, Nirvan', '')"
1682067,"('Gilad, Yossi', '@csail.mit.edu')"
39946997,"('Leung, Derek', '@i2r.a-star.edu.sg')"
1901948,"('Zaharia, Matei', '@cs.stanford.edu')"
1789973,"('Zeldovich, Nickolai', '@csail.mit.edu')"
2650184,"('Chen, Feng', '@albany.edu')"
2787368,"('Zhou, Baojian', '@albany.edu')"
34265351,"('Alim, Adil', '@albany.edu')"
39164176,"('Zhao, Liang', '@gmu.edu')"
1746708,"('Srivastava, Abhinav', '@research.att.com')"
1757885,"('Stanley, Natalie', '@email.unc.edu')"
38199747,"('Griggs, Christopher', '')"
3388635,"('Chi, Andrew', '@cs.unc.edu')"
2480778,"('Sturton, Cynthia', '@cs.unc.edu')"
35930993,"('Tan, Tian', '@cs.au.dk')"
30461535,"('Li, Yue', '@cs.au.dk')"
38726687,"('Xue, Jingling', '@cse.unsw.edu.au')"
2861707,"('Faragardi, Hamid Reza', '@mdh.se')"
2905669,"('Fotouhi, Hossein', '@mdh.se')"
2191832,"('Nolte, Thomas', '@mdh.se')"
2627161,"('Rahmani, Rahim', '@dsv.su.se')"
38566150,"('Wei, Michael', '@cs.ucsd.edu')"
37531541,"('Tai, Amy', '@cs.princeton.edu')"
1692790,"('Rossbach, Christopher J.', '@cs.utexas.edu')"
1804661,"('Abraham, Ittai', '@cs.huji.ac.il')"
9773986,"('Munshed, Maithem', '')"
35081828,"('Dhawan, Medhavi', '')"
5170084,"('Stabile, Jim', '')"
1753945,"('Wieder, Udi', '@vmware.com')"
21841246,"('Fritchie, Scott', '')"
1760342,"('Swanson, Steven', '@eng.ucsd.edu')"
3122063,"('Freedman, Michael J.', '@cs.princeton.edu')"
1767467,"('Malkhi, Dahlia', 'MISSING')"
1720537,"('Hanczewski, Slawomir', '@et.put.poznan.pl')"
6589337,"('Stasiak, Maciej', 'MISSING')"
2310025,"('Weissenberg, Joanna', '')"
1893193,"('Albarghouthi, Aws', '@cs.wisc.edu')"
1806462,"(""D'Antoni, Loris"", '@cs.wisc.edu')"
31638968,"('Drews, Samuel', '')"
3315868,"('Kallurkar, Prathmesh', '@cse.iitd.ernet.in')"
2550384,"('Sarangi, Smruti R.', '@cse.iitd.ac.in')"
1763308,"('Norris, Boyana', '@cs.uoregon.edu')"
2143124,"('Dash, Sajal', '@vt.edu')"
3447404,"('Verma, Anshuman', '@microsoft.com')"
1796013,"('North, Chris', '@vt.edu')"
1706290,"('Xu, Wen', '@gatech.edu')"
1909974,"('Kashyap, Sanidhya', '@gatech.edu')"
7761504,"('Min, Changwoo', '@vt.edu')"
3254849,"('Kim, Taesoo', '@gatech.edu')"
39483735,"('Cai, Renqin', '')"
1735804,"('Wang, Chi', '@microsoft.com')"
31825390,"('Wang, Hongning', '@uthscsa.edu')"
1687456,"('Hidders, Jan', '@tudelft.nl')"
1717880,"('Paredaens, Jan', '')"
