author_name,degree,eigenvector,betweenness,closeness, npubs, hindex, hindex5y, i10index, i10index5y, citedby, as_pc_chair, as_pc, as_session_chair, as_panelist, as_keynote_speaker, as_author
"Camarero, Cristobal",0.0003,0.0,0.0,0.0295,,,,,,,,,,,,
"Martínez, Carmen",0.0003,0.0,0.0,0.0295,43,12,8,13,8,430,0,0,0,0,0,1
"Beivide, Ramón",0.0012,0.0,0.0002,0.0318,,,148,22,16,40,0,0,0,0,0,3
"Oh, Taewook",0.0005,0.0,0.0,0.0005,20,8,7,7,6,366,0,0,0,0,0,1
"Beard, Stephen R.",0.0005,0.0,0.0,0.0005,,,,,,,0,0,0,0,0,1
"Johnson, Nick P.",0.0005,0.0,0.0,0.0005,,,,,,,0,0,0,0,0,1
"Popovych, Sergiy",0.0005,0.0,0.0,0.0005,,,,,,,0,0,0,0,0,1
"August, David I.",0.0005,0.0,0.0,0.0005,158,38,30,81,53,6033,0,0,0,0,0,1
"Zeng, Qi",0.0001,0.0,0.0,0.0001,,,,,,,0,0,0,0,0,1
"Peir, Jih-Kwon",0.0001,0.0,0.0,0.0001,,,,,,,0,0,0,0,0,1
"Dublish, Saumay",0.0003,0.0,0.0,0.0302,3,1,1,0,0,2,0,0,0,0,0,1
"Nagarajan, Vijay",0.0011,0.0,0.0005,0.0327,,,47,13,12,16,0,1,1,0,0,3
"Topham, Nigel",0.0003,0.0,0.0,0.0302,,,,,,,0,0,0,0,0,1
"Tolomei, Gabriele",0.0004,0.0,0.0,0.0004,31,9,8,8,6,388,0,0,0,0,0,1
"Silvestri, Fabrizio",0.0004,0.0,0.0,0.0004,186,32,24,55,43,3357,0,1,0,0,0,1
"Haines, Andrew",0.0004,0.0,0.0,0.0004,,,,,,,0,0,0,0,0,1
"Lalmas, Mounia",0.0004,0.0,0.0,0.0004,296,43,21,151,67,6497,0,0,0,0,0,1
"Gupta, Trinabh",0.0004,0.0,0.0,0.0426,13,6,6,5,5,169,0,0,0,0,0,1
"Fingler, Henrique",0.0011,0.0,0.0025,0.0467,,,,,,,0,0,0,0,0,2
"Alvisi, Lorenzo",0.0012,0.0,0.002,0.0426,,,,,174,42,1,2,1,0,0,4
"Walfish, Michael",0.0016,0.0,0.0013,0.0441,,,61,22,19,28,0,1,0,0,0,3
"Kolli, Aasheesh",0.0008,0.0,0.0,0.0434,12,5,5,5,5,102,0,0,0,0,0,1
"Gogte, Vaibhav",0.0008,0.0,0.0,0.0434,5,1,1,0,0,3,0,0,0,0,0,1
"Saidi, Ali G.",0.0008,0.0,0.0,0.0434,,,,,,,,,,,,
"Diestelhorst, Stephan",0.0015,0.0,0.003,0.0487,,44,11,10,12,10,0,0,0,0,0,2
"Chen, Peter M.",0.0011,0.0,0.0002,0.0434,,113,41,29,61,45,1,1,0,0,0,2
"Narayanasamy, Satish",0.0015,0.0,0.0005,0.0435,,,,71,25,22,0,1,0,0,0,4
"Wenisch, Thomas F.",0.0013,0.0,0.0017,0.0435,,,,,,120,0,3,0,0,0,4
"Kjolstad, Fredrik",0.0005,0.0,0.0,0.0007,12,7,7,5,4,142,0,0,0,0,0,1
"Kamil, Shoaib",0.0009,0.0,0.0,0.001,,65,22,18,30,28,0,0,0,0,0,2
"Chou, Stephen",0.0005,0.0,0.0,0.0007,,,,,,,0,0,0,0,0,1
"Lugato, David",0.0005,0.0,0.0,0.0007,,,,,,,0,0,0,0,0,1
