author_name,degree,eigenvector,betweenness,closeness,npubs,hindex,hindex5y,i10index,i10index5y,citedby,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author
"Quach, Alan",0.0006,0.0,0.0,0.074,,,,,,,0,0,0,0,0,1
"Zhou, Xiaobo",0.0026,0.0003,59366.0,0.0994,102,23,19,47,33,1626,0,2,0,0,0,4
"Seelam, Seetharami R.",0.0011,0.0,0.0,0.0858,,,,,,,,,,,,
"Akgun, Itir",0.0014,0.0,0.0,0.1017,5,2,2,0,0,6,0,0,0,0,0,1
"Oh, Chanyoung",0.0014,0.0,0.0,0.105,5,2,2,1,1,17,0,0,0,0,0,1
"Schaub, Florian",0.0026,0.0,0.0,0.1072,,,,,,,,,,,,
"Stafman, Logan",0.0009,0.0,0.0,0.1318,,,,,,,0,0,0,0,0,1
"Guan, Hui",0.0011,0.0,1.0,0.0966,,,,,,,0,0,0,0,0,2
"Kim, Jangwoo",0.002,0.0,2336.6667,0.1053,24,11,10,13,11,1027,0,1,0,0,0,2
"Wilson, Shomir",0.0026,0.0,0.0,0.1072,38,10,9,11,9,285,0,0,0,0,0,1
"Lee, Gregory L.",0.0014,0.0,0.0,0.0936,,,,,,,0,0,0,0,0,1
"Sheshadri, Ramanujan K.",0.0014,0.0,0.0,0.0775,,,,,,,,,,,,
"Arulraj, Joy",0.0048,0.0001,0.0,0.12,10,8,8,6,6,175,0,0,0,0,0,1
"Wei, Changzheng",0.0011,0.0,0.0,0.1011,,,,,,,,,,,,
"Mehta, Parmita",0.0043,0.0,0.0,0.0905,,,,,,,0,0,0,0,0,1
"Zhang, Wenjie",0.0014,0.0,24514.0,0.0661,112,20,19,44,43,1772,0,0,0,0,0,2
"Barthe, Gilles",0.004,0.0,10520.0476,0.0637,,,,,,,0,1,0,0,0,3
"Phillips, Cynthia A.",0.0017,0.0,0.0,0.0924,,,,,,,,,,,,
"Burtsev, Anton",0.0026,0.0,52501.9684,0.1252,12,4,4,2,2,98,0,0,0,0,0,2
"Gudka, Khilan",0.004,0.0,0.0,0.0992,,,,,,,0,0,0,0,0,1
"Arshad, Sajjad",0.0014,0.0,0.0,0.0936,14,4,4,2,2,64,0,0,0,0,0,1
"Ferreira, Ronaldo A.",0.0011,0.0,0.0,0.1081,18,9,6,9,3,363,0,0,0,0,0,1
"Rudoff, Andy",0.002,0.0,0.0,0.1271,,,,,,,0,0,0,0,0,1
"Wang, Yang",0.0043,0.0001,237680.0,0.0987,43,14,14,17,17,436,0,0,0,0,0,2
"Huh, Joonmoo",0.0003,0.0,0.0,0.0861,10,2,2,0,0,8,0,0,0,0,0,1
"Lu, Yutong",0.0017,0.017,0.0,0.0955,,,,,,,0,0,0,0,0,1
"Xue, Guangtao",0.0009,0.0,0.0,0.106,90,17,14,23,19,1098,0,0,0,0,0,1
"Gandhi, Anshul",0.0023,0.0,10518.0,0.1016,56,15,15,19,18,1396,0,1,2,0,0,4
"Chamith, Buddhika",0.0009,0.0,0.0,0.0918,5,2,2,0,0,8,0,0,0,0,0,1
"Nita-Rotaru, Cristina",0.0028,0.0,128464.0,0.0929,202,30,24,56,42,4387,0,2,0,0,0,2
"Ibrahim, Mohamed",0.0023,0.0,0.0,0.1101,,,,,,,0,0,0,0,0,1
"Blaauw, David",0.0046,0.0,37878.0,0.0976,721,75,50,301,200,22922,0,0,0,0,0,4
"Dreslinski, Ronald",0.0017,0.0,0.0,0.0891,98,26,25,43,40,3616,0,0,0,0,0,1
"Morozov, Vitali A.",0.0017,0.0017,0.0,0.0872,,,,,,,,,,,,
"Qiu, Lili",0.0028,0.0,28008.0,0.0916,176,46,36,84,70,10463,0,1,0,0,0,2
"Saltz, Joel H.",0.0014,0.0,0.0,0.0935,,,,,,,,,,,,
"Kurt, Sireyya Emre",0.0011,0.0,0.0,0.0902,,,,,,,,,,,,
"Memaripour, Amirsaman",0.0034,0.0,19429.5185,0.1327,7,3,3,2,2,48,0,0,0,0,0,2
"Vijaykrishnan, Narayanan",0.002,0.0,0.0,0.1101,,,,,,,,,,,,
