author_name,degree,eigenvector,betweenness,closeness,npubs,hindex,hindex5y,i10index,i10index5y,citedby,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author
"Subramaniyan, Arun",0.0025,0.0,3111.0,0.1019,8,2,2,0,0,5,0,0,0,0,0,3
"Chun, Brent N.",0.0028,0.0,0.0,0.1178,,,,,,,,,,,,
"Yang, Renyu",0.0009,0.0,0.0,0.094,25,7,7,3,3,153,0,0,0,0,0,1
"Pigli, Toma",0.0013,0.0,0.0,0.0878,,,,,,,0,0,0,0,0,1
"Dupros, Fabrice",0.0013,0.0,0.0,0.096,,,,,,,0,0,0,0,0,1
"Hu, Yiming",0.0009,0.0,0.0,0.0894,,,,,,,0,0,0,0,0,1
"Subramanian, Lavanya",0.0022,0.0,0.0,0.1307,19,11,11,11,11,731,0,0,0,0,0,1
"Nishihara, Robert",0.0028,0.0,0.0,0.1388,9,5,5,5,5,142,0,0,0,0,0,1
"Bai, Gang",0.0013,0.0,0.0,0.0967,,,,,,,0,0,0,0,0,1
"Cryan, Jenna",0.0013,0.0,0.0,0.0925,,,,,,,0,0,0,0,0,1
"Yu, Lingfan",0.0009,0.0,0.0,0.1022,,,,,,,0,0,0,0,0,1
"Shah, Vivek",0.0031,0.0,0.0,0.0919,,,,,,,0,0,0,0,0,1
"Raghunathan, Anand",0.0047,0.0,28602.0,0.1067,430,63,35,221,132,13327,0,0,0,0,0,2
"Arun, Venkat",0.0022,0.0,0.0,0.1252,8,3,3,1,1,25,0,0,0,0,0,1
"Berger, Daniel S.",0.0006,0.0,0.0,0.1073,16,3,3,2,2,64,0,0,0,0,0,1
"Ren, Yufei",0.0025,0.0,795.75,0.0971,18,5,5,3,3,77,0,0,0,0,0,3
"Lee, Eojin",0.0019,0.0,0.0,0.1155,4,0,0,0,0,0,0,0,0,0,0,2
"Choudhury, Romit Roy",0.0019,0.0,0.0,0.0738,204,41,35,85,76,7711,0,1,0,0,0,1
"Sundaram, Narayanan",0.0069,0.0,153504.9309,0.1224,45,15,15,17,16,1335,0,0,0,0,0,3
"Pacheco, Hugo",0.0028,0.0,0.0,0.0643,24,9,9,8,8,300,0,0,0,0,0,1
"Daglis, Alexandros",0.0022,0.0,0.0,0.0906,7,3,3,2,2,82,0,0,0,0,0,1
"Bilal, Muhammad",0.0003,0.0,0.0,0.1121,,,,,,,0,0,0,0,0,1
"Gibbons, Phillip B.",0.0056,0.0,271917.5933,0.1455,,,,,,,,,,,,
"Richardson, Alex",0.0028,0.0,0.0,0.1055,,,,,,,,,,,,
"Brasseur, Clement",0.0006,0.0,0.0,0.0913,,,,,,,,,,,,
"Baker, Randal S.",0.0031,0.0,0.0,0.0806,,,,,,,0,0,0,0,0,1
"Zhou, Honggang",0.0013,0.0,0.0,0.073,,,,,,,0,0,0,0,0,1
