author_name,degree,eigenvector,betweenness,closeness
"Camarero, Cristobal",0.0003,0.0,0.0,0.0295
"Martínez, Carmen",0.0003,0.0,0.0,0.0295
"Beivide, Ramón",0.0012,0.0,0.0002,0.0318
"Oh, Taewook",0.0005,0.0,0.0,0.0005
"Beard, Stephen R.",0.0005,0.0,0.0,0.0005
"Johnson, Nick P.",0.0005,0.0,0.0,0.0005
"Popovych, Sergiy",0.0005,0.0,0.0,0.0005
"August, David I.",0.0005,0.0,0.0,0.0005
"Zeng, Qi",0.0001,0.0,0.0,0.0001
"Peir, Jih-Kwon",0.0001,0.0,0.0,0.0001
"Dublish, Saumay",0.0003,0.0,0.0,0.0302
"Nagarajan, Vijay",0.0011,0.0,0.0005,0.0327
"Topham, Nigel",0.0003,0.0,0.0,0.0302
"Tolomei, Gabriele",0.0004,0.0,0.0,0.0004
"Silvestri, Fabrizio",0.0004,0.0,0.0,0.0004
"Haines, Andrew",0.0004,0.0,0.0,0.0004
"Lalmas, Mounia",0.0004,0.0,0.0,0.0004
"Gupta, Trinabh",0.0004,0.0,0.0,0.0426
"Fingler, Henrique",0.0011,0.0,0.0025,0.0467
"Alvisi, Lorenzo",0.0012,0.0,0.002,0.0426
"Walfish, Michael",0.0016,0.0,0.0013,0.0441
"Kolli, Aasheesh",0.0008,0.0,0.0,0.0434
"Gogte, Vaibhav",0.0008,0.0,0.0,0.0434
"Saidi, Ali G.",0.0008,0.0,0.0,0.0434
"Diestelhorst, Stephan",0.0015,0.0,0.003,0.0487
"Chen, Peter M.",0.0011,0.0,0.0002,0.0434
"Narayanasamy, Satish",0.0015,0.0,0.0005,0.0435
"Wenisch, Thomas F.",0.0013,0.0,0.0017,0.0435
"Kjolstad, Fredrik",0.0005,0.0,0.0,0.0007
"Kamil, Shoaib",0.0009,0.0,0.0,0.001
"Chou, Stephen",0.0005,0.0,0.0,0.0007
"Lugato, David",0.0005,0.0,0.0,0.0007
"Amarasinghe, Saman P.",0.0005,0.0,0.0,0.0007
"Zhang, Sizhuo",0.0003,0.0,0.0,0.0003
"Vijayaraghavan, Muralidaran",0.0003,0.0,0.0,0.0003
"Arvind, ",0.0003,0.0,0.0,0.0003
"Wang, Aosen",0.0003,0.0,0.0,0.0005
"Chen, Lizhong",0.0003,0.0,0.0,0.0005
"Xu, Wenyao",0.0008,0.0,0.0,0.0008
"Pillai, Thanumalayan Sankaranarayana",0.0007,0.0,0.0,0.0441
"Alagappan, Ramnatthan",0.0008,0.0,0.0,0.0441
"Lu, Lanyue",0.0007,0.0,0.0,0.0441
"Chidambaram, Vijay",0.0025,0.0,0.0039,0.0496
"Arpaci-Dusseau, Andrea C.",0.0012,0.0,0.0002,0.0441
"Arpaci-Dusseau, Remzi H.",0.0012,0.0,0.0002,0.0441
"Seshadri, Vivek",0.0019,0.0,0.0005,0.0517
"Lee, Donghyuk",0.0033,0.0,0.0018,0.053
"Mullins, Thomas",0.0012,0.0,0.0,0.0503
"Hassan, Hasan",0.0027,0.0,0.001,0.053
"Boroumand, Amirali",0.0012,0.0,0.0,0.0503
"Kim, Jeremie",0.0012,0.0,0.0,0.0503
"Kozuch, Michael A.",0.0015,0.0,0.0007,0.0504
"Mutlu, Onur",0.0061,0.0,0.0159,0.0546
"Gibbons, Phillip B.",0.0024,0.0,0.0061,0.0537
"Mowry, Todd C.",0.0035,0.0,0.0024,0.0517
